study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,text.stopped,test.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,TestText.stopped,test.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
Laptop ,0,0,0,1.011111111111111,5.077856600000814,,,,,,,,,,,,0,0,0,5,,,,,0.021539200000916026,,0.014013800000611809,0.021539200000916026,0.021539200000916026,5.111528500001441,1.011111111111111,5.077856600000814,,,,,,,,,,,,,,,,,1,001,2025-10-16_10h25.03.908,word priming,,2025.1.1,59.8955182577057,2025-10-16 10h25.12.537561 +0530,
Poster ,1,1,0,1,10.405244700001276,,,,,,,,,,,,0,1,1,14,,,,,5.12665780000134,,5.118771400000696,5.12665780000134,5.12665780000134,15.541826100001344,1,10.405244700001276,13.138576500001363,,,,,,,,,,,,,,,,1,001,2025-10-16_10h25.03.908,word priming,,2025.1.1,59.8955182577057,2025-10-16 10h25.12.537561 +0530,
Chart,2,2,0,1.025925925925926,4.142879999999423,,,,,,,,,,,,0,2,2,6,,,,,15.555030100000295,,15.548351500001445,15.555030100000295,15.555030100000295,19.70670810000047,1.025925925925926,4.142879999999423,,,,,,,,,,,,,,,,,1,001,2025-10-16_10h25.03.908,word priming,,2025.1.1,59.8955182577057,2025-10-16 10h25.12.537561 +0530,
Police,3,3,0,1.025925925925926,0.6792882999998255,,,,,,,,,,,,0,3,3,12,,,,,19.721964899999875,,19.71017490000122,19.721964899999875,19.721964899999875,20.40573350000159,1.025925925925926,0.6792882999998255,,,,,,,,,,,,,,,,,1,001,2025-10-16_10h25.03.908,word priming,,2025.1.1,59.8955182577057,2025-10-16 10h25.12.537561 +0530,
T-shirt,4,4,0,1.0148148148148148,10.111710899998798,,,,,,,,,,,,0,4,4,7,,,,,20.42144619999999,,20.411695800001326,20.42144619999999,20.42144619999999,30.539270000001125,1.0148148148148148,10.111710899998798,28.427754800000912,,,,,,,,,,,,,,,,1,001,2025-10-16_10h25.03.908,word priming,,2025.1.1,59.8955182577057,2025-10-16 10h25.12.537561 +0530,
board,5,5,0,1.0148148148148148,1.8965387000007468,,,,,,,,,,,,0,5,5,4,,,,,30.55538780000097,,30.543745100001615,30.55538780000097,30.55538780000097,32.45542700000078,1.0148148148148148,1.8965387000007468,,,,,,,,,,,,,,,,,1,001,2025-10-16_10h25.03.908,word priming,,2025.1.1,59.8955182577057,2025-10-16 10h25.12.537561 +0530,
phone,6,6,0,1.0,19.847490000000107,,,,,,,,,,,,0,6,6,2,,,,,32.47132800000145,,32.45872570000029,32.47132800000145,32.47132800000145,52.323447300001135,1.0,19.847490000000107,40.47953770000095,,,,,,,,,,,,,,,,1,001,2025-10-16_10h25.03.908,word priming,,2025.1.1,59.8955182577057,2025-10-16 10h25.12.537561 +0530,
cushion,7,7,0,1.0222222222222221,9.743528200000583,,,,,,,,,,,,0,7,7,1,,,,,52.33811190000051,,52.3291474000016,52.33811190000051,52.33811190000051,62.088469800000894,1.0222222222222221,9.743528200000583,60.345571000001655,,,,,,,,,,,,,,,,1,001,2025-10-16_10h25.03.908,word priming,,2025.1.1,59.8955182577057,2025-10-16 10h25.12.537561 +0530,
Keys,8,8,0,1,1.6772445000005973,,,,,,,,,,,,0,8,8,13,,,,,62.10417469999993,,62.0956184000006,62.10417469999993,62.10417469999993,63.78852350000125,1,1.6772445000005973,,,,,,,,,,,,,,,,,1,001,2025-10-16_10h25.03.908,word priming,,2025.1.1,59.8955182577057,2025-10-16 10h25.12.537561 +0530,
Pastry,9,9,0,1,0.5970593000001827,,,,,,,,,,,,0,9,9,9,,,,,63.804206100001466,,63.792234700000336,63.804206100001466,63.804206100001466,64.40521670000089,1,0.5970593000001827,,,,,,,,,,,,,,,,,1,001,2025-10-16_10h25.03.908,word priming,,2025.1.1,59.8955182577057,2025-10-16 10h25.12.537561 +0530,
